Gene	LK1	LK2	LK3	LK4	LK5	LK6
ADD2	8.829449072000001	8.019898506	8.948029979	7.722445757999999	8.749300838	7.578633339
ADD3	9.745949393	9.636921285	9.991139675	9.904291453999999	9.611111565	9.800706395
ADH1C	4.363054932	4.361510449	4.4185628480000005	4.434706725	4.359668085	4.384662948
ADH4	4.453435604	4.33278045	4.296802295	4.324843536	4.425760863	4.595139061
ADH5	10.48629574	10.67085275	10.2395751	10.26476164	10.26598265	10.30680833
ADH7	4.9626465589999995	4.52039177	4.819408859	4.734345521	4.74601487	4.967086102
ADHFE1	4.70377418	4.532333499	4.464349014	4.952344137	4.506639121	4.670985912
ADI1	10.77227088	10.80546608	10.66026072	10.677298599999999	10.76201269	10.31099749
ADIPOQ	4.602225018	4.543340816000001	4.4098683780000005	4.522172965	4.71990383	4.577407609
ADIPOR1	10.79128259	10.59076359	10.81476699	11.0269651	10.83606774	10.96136313
ADIPOR2	11.25073584	11.243345800000002	11.49089952	11.43106506	11.25709631	11.23348309
ADK	11.83411759	11.63138794	11.55351588	11.37677948	11.5590689	11.48338604
ADM	4.489278468	4.32201009	4.509718217	4.859000184	4.384662948	4.4639233439999995
ADM2	4.427099107	4.412064346	4.4098683780000005	4.388044614	4.381003579	4.479306897
ADNP	11.38656598	11.22165078	11.35842522	11.51426877	11.41168153	11.29442998
ADO	6.460748572999999	6.620665087999999	6.577195155	6.53574764	6.557864955	6.490870126
ADORA1	4.772962043	5.112811955	4.929048721	4.587714279	5.0501960189999995	4.6296658310000005
ADORA2A	4.370598422	4.38316565	4.464349014	4.49444608	4.461168092	4.5127893839999995
ADORA2B	5.2618510039999995	4.483285109	5.043333253999999	5.354180156	5.12196381	4.871425544
ADORA3	4.680446421	4.629990174	4.481516011	4.891953572	4.63606671	5.002011497
ADPGK	9.057261709	9.012988634	8.906205252000001	9.270288395	9.286454647000001	9.393196368
ADPRH	11.51251268	11.40868641	11.45733233	11.21403393	11.37466207	11.27750363
ADPRHL1	4.924868786	4.9975152089999995	5.543695558	5.360405677	4.844801283	4.9037707
ADPRS	7.21023656	6.94789443	7.18083278	6.786121916	7.165798405	6.9742849389999995
ADRA1A	4.611911508	4.71164741	4.595195801	5.194122308	4.879901555	5.058368768999999
ADRA1B	4.51997936	4.512314788	4.376562696000001	4.464141887	4.361666026	4.833123715
ADRA1D	4.327380439	4.420237866	4.47932015	4.283481203	4.539955257	4.326299257
ADRA2A	4.598448918	4.929048721	5.173382218	5.089154745	5.22119896	5.336387335
ADRA2B	4.431740424	4.359760288	4.486212095	4.438547841	4.4882389289999995	4.529986865
ADRA2C	4.75648394	5.393173526	5.030342897	5.403957457000001	5.309020425	4.403371218
ADRB1	4.81179904	4.734673483	4.71800153	4.998766216	4.849944087	4.601340243
ADRB2	7.666676358999999	7.1709802520000006	7.515216492	7.315009436	7.508794666	7.159294814
ADRB3	4.499418347	4.407978861	4.688801261	4.723742572	4.37499441	4.679101387
ADRM1	10.01409191	10.29976747	10.165196400000001	9.962253106	10.21244718	10.00733853
ADSL	10.38647906	9.94718207	10.17739508	9.906673223	10.28693931	10.09255503
ADSS1	11.91567602	12.19315223	12.20727022	12.51407015	12.22248461	12.31757665
ADSS2	9.174356562	9.339175325	9.335104541	9.36105998	9.234501001	9.053103279
AEBP1	4.411324686	4.34757965	4.572329948999999	4.406814348999999	4.37499441	4.388782235
AEBP2	10.23604055	10.01244581	10.42337984	10.22149291	10.35928875	10.34673204
AEN	4.850277522	4.862288331	4.971426596000001	4.846180302	5.455606456	4.940556109
AFAP1	4.527541307	5.096213994	4.955835394	4.56808969	4.666425536	4.567881732
AFAP1L1	6.549032997	6.49153834	6.513549171	7.111365576	6.901434516	6.751560122999999
AFAP1L2	4.384662948	4.342577295	4.305714978	4.23107736	4.255182102	4.372679876
AFF1	8.998582061	9.342660741	9.163977588	9.552102986	9.350269671	9.755800641
AFF4	4.706984341	4.595413693999999	4.598448918	5.08648212	4.969319672	4.8441302319999995
AFG3L2	8.3182281	8.30806002	8.440026276000001	8.151614639	8.335786482	8.096831267
AFM	4.3409879689999995	4.306928657	4.276827615	4.400596315	4.4010559019999995	4.372679876
AFMID	5.320968016	5.162772617	5.2909332110000005	5.080435536	5.683172977000001	5.481054599
AFP	4.407324798	4.633172851	4.486212095	4.445855758	4.404980364	4.493223237
